City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Pustoshka,RU,268.71,scattered clouds,56.3355,29.369,Гостиница Юбилейная
659,Beyneu,KZ,269.19,broken clouds,45.3167,55.2,Johan yu
668,Verkhovazhye,RU,269.0,light snow,60.7472,42.0465,Вага
673,Kropotkin,RU,273.45,light snow,45.4375,40.5756,Европа
681,Alihe,CN,248.34,clear sky,50.5667,123.7167,大鮮卑酒店
683,Rocky Mountain House,CA,265.21,overcast clouds,52.3668,-114.9188,Canalta Hotel Rocky Mountain House
684,Saint-Felicien,CA,270.43,few clouds,48.6501,-72.4491,Hôtel de la boréale
685,Rawlins,US,266.12,clear sky,41.7911,-107.2387,Quality Inn Rawlins I-80
687,Yurino,RU,260.96,overcast clouds,56.2942,46.3039,Номерной фонд
688,Boralday,KZ,265.07,fog,43.3578,76.8594,Жетысу
694,Linfen,CN,274.12,clear sky,36.0889,111.5189,7天连锁酒店
707,College,US,253.19,broken clouds,64.8569,-147.8028,BEST WESTERN PLUS Pioneer Park Inn
709,Deer Lake,CA,267.07,light snow,49.1667,-57.4316,Holiday Inn Express
713,Severodvinsk,RU,267.21,broken clouds,64.5635,39.8302,Hermitage
715,Zharkent,KZ,265.44,overcast clouds,44.1628,80.0,Hotel (good)
718,Shimoda,JP,274.87,overcast clouds,34.6667,138.95,ホテルウラガ
730,Petropavlovsk-Kamchatskiy,RU,268.48,light shower snow,53.0452,158.6483,ООО Постоялый двор
